group,degrade_type,n,rank_acc_mild_gt_severe,margin_acc,monotonic_acc_clean_gt_mild_gt_severe,mean_gap_mild_minus_severe,mean_gap_clean_minus_mild,mild_level,severe_level
optical_dynamic,defocus_blur,78,0.8076923076923077,0.7948717948717948,0.7564102564102564,9.442089206133133,15.934300459348238,5,11
optical_dynamic,motion_blur,78,0.8589743589743589,0.8205128205128205,0.7564102564102564,6.952351093292236,10.870742064255934,5,11
optical_dynamic,radial_distortion,78,0.44871794871794873,0.3717948717948718,0.32051282051282054,-0.7237636492802546,4.899546305338542,0.08,0.18
occlusion,occlude,78,0.7051282051282052,0.5384615384615384,0.358974358974359,1.6947765717139611,0.5923886849330022,0.15,0.3
photometric,low_light,78,0.9487179487179487,0.9230769230769231,0.7948717948717948,11.797150807502943,12.12142399029854,0.6,0.25
photometric,overexpose,78,0.9230769230769231,0.8974358974358975,0.6923076923076923,21.70266915590335,11.22601922047444,1.5,3.0
digital,jpeg_compression,78,0.9871794871794872,0.9871794871794872,0.8461538461538461,17.958177749927227,7.075788424565242,48,14
digital,low_resolution,78,0.8974358974358975,0.8846153846153846,0.8205128205128205,5.528441062340369,11.625430339421982,0.5,0.25
roi_geometry,roi_shift,78,0.6794871794871795,0.5897435897435898,0.5128205128205128,2.7453498901465,3.4755218823750815,0.06,0.16
roi_geometry,roi_crop_off,78,0.6794871794871795,0.6410256410256411,0.358974358974359,6.445770013026702,4.124219289192786,0.1,0.25
roi_geometry,roi_padding,78,1.0,0.8974358974358975,0.8846153846153846,15.369923279835628,16.40442284559592,0.08,0.18
roi_geometry,roi_rotate,78,0.6282051282051282,0.6025641025641025,0.358974358974359,2.1230264565883536,1.090451167179988,8,24
roi_geometry,roi_scale_error,78,0.7307692307692307,0.7307692307692307,0.5128205128205128,6.781110360072209,3.7816134232741137,0.1,0.25
optical_dynamic,__group_average__,234,0.7051282051282052,0.6623931623931624,0.6111111111111112,5.223558883381705,10.568196276314238,,
occlusion,__group_average__,78,0.7051282051282052,0.5384615384615384,0.358974358974359,1.6947765717139611,0.5923886849330022,,
photometric,__group_average__,156,0.9358974358974359,0.9102564102564102,0.7435897435897436,16.749909981703148,11.67372160538649,,
digital,__group_average__,156,0.9423076923076923,0.9358974358974359,0.8333333333333334,11.743309406133799,9.350609381993612,,
roi_geometry,__group_average__,390,0.7435897435897436,0.6923076923076923,0.5256410256410257,6.693035999933879,5.775245721523579,,
